"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","3/3/2013","Court 3","4:30pm","7B OSA Black 7th","7B Skutt Black 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 3","9:30am","7B Abraham Lincoln Lynx Blue 7th","7B The Wild Nine 7th","7th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 3","12:30pm","7B Plattsmouth 7th","7B The Wild Nine 7th","7th Grade Bronze","Lied Center"
"Winter 2013","2/3/2013","Court 3","1:30pm","7B Legacy 7th","7B The Wild Nine 7th","7th Grade Bronze","Lied Center"
"Winter 2013","2/24/2013","Court 3","9:30am","7B OSA Black 7th","7B The Wild Nine 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/20/2013","Court 3","11:30am","7B The Wild Nine 7th","7B Westside Red 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 3","11:30am","7B Millard North Blue 7th","7B Westside Red 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/27/2013","Court 3","12:30pm","7B Lincoln Ambassadors White 7th","7B Westside Red 7th","7th Grade Bronze","Lied Center"
"Winter 2013","3/3/2013","Court 3","1:30pm","7B Plattsmouth 7th","7B Westside Red 7th","7th Grade Bronze","Lied Center"
"Winter 2013","1/13/2013","Court 3","10:30am","7G PLV South Titans 7th","7G Abraham Lincoln Lynx Red 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 3","10:30am","7G Marian Crusaders 7th","7G Abraham Lincoln Lynx Red 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 3","10:30am","7G Bellevue Thunder Gold 6th","7G Abraham Lincoln Lynx Red 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 3","5:30pm","7G Marian Crusaders 7th","7G Bellevue Thunder Gold 6th","7th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 3","7:30pm","7G Wahoo Cavalry 7th","7G Bellevue Thunder Gold 6th","7th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 3","5:30pm","7G PLV South Titans 7th","7G Bellevue Thunder Gold 6th","7th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 3","7:30pm","7G Millard North Silver 7th","7G For Pete Force Black 6th","7th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 3","5:30pm","7G Bellevue Thunder Gold 6th","7G For Pete Force Black 6th","7th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 3","6:30pm","7G Wahoo Cavalry 7th","7G For Pete Force Black 6th","7th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 3","10:30am","7G Abraham Lincoln Lynx Red 7th","7G For Pete Force Black 6th","7th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 3","6:30pm","7G Wahoo Cavalry 7th","7G Marian Crusaders 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 3","7:30pm","7G PLV South Titans 7th","7G Marian Crusaders 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 3","7:30pm","7G For Pete Force Black 6th","7G Marian Crusaders 7th","7th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 3","7:30pm","7G Millard North Silver 7th","7G Marian Crusaders 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 3","5:30pm","7G Bellevue Thunder Gold 6th","7G Millard North Silver 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 3","10:30am","7G Abraham Lincoln Lynx Red 7th","7G Millard North Silver 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 3","6:30pm","7G PLV Monarchs Maroon 7th","7G Millard North Silver 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 3","10:30am","7G Abraham Lincoln Lynx Red 7th","7G PLV Monarchs Maroon 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 3","5:30pm","7G Marian Crusaders 7th","7G PLV Monarchs Maroon 7th","7th Grade Gold","Lied Center"
